CustomerID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Annual_Income,Total_Debt,Avg_Monthly_Revenue,Avg_Monthly_Expenses,Savings_Account_Balance,Tenure,Loan_Repayments,Credit_Card_Fees,Overdraft_Fees,Investment_Account_Balance,Customer_Segment,Branch_Region,Customer_Support_Interactions,Digital_Banking_Usage,Churn,Risk_Score,Default_History
CUST000001,41,Male,Married,Undergraduate,Employed,60653.58,29462.74,2294.44,1904.22,18189.61,21,357.31,110.79,23.05,22136.8,Private,Central,10,91,No,345.78,No
CUST000002,76,Male,Single,Undergraduate,Employed,29864.03,14872.19,705.98,540.14,10528.86,1,1099.11,176.25,10.97,23264.28,Private,Central,19,30,No,538.95,No
CUST000003,60,Male,Married,Postgraduate,Unemployed,10141.63,2418.92,266.25,210.62,1579.89,3,1373.47,138.61,3.94,2779.72,Retail,South,7,84,Yes,329.29,Yes
CUST000004,50,Female,Married,Undergraduate,Self-Employed,66152.13,9276.65,2950.4,2082.26,8244.61,13,269.81,151.4,23.57,48689.85,Private,Central,3,92,No,597.65,No
CUST000005,32,Male,Married,Undergraduate,Employed,31308.64,11075.27,735.57,475.15,5317.9,7,989.08,134.71,43.42,20673.19,Retail,South,14,74,Yes,341.31,Yes
CUST000006,32,Female,Married,Undergraduate,Employed,54813.4,16471.25,2727.05,1717,9861.82,6,383.34,71.77,2.97,29892.4,Retail,West,18,42,No,708.48,No
CUST000007,26,Male,Widowed,Undergraduate,Employed,60452.99,11667.2,3513.86,2248.03,7100.29,6,717.6,80.21,49.45,45538.92,Private,South,18,25,Yes,366.38,No
CUST000008,70,Female,Single,Undergraduate,Employed,55387.98,13996.1,2558.76,1948.53,6562.64,34,277.53,120.5,47.35,51954.63,Retail,North,2,14,Yes,500.71,No
CUST000009,51,Female,Married,Undergraduate,Self-Employed,96973.66,29988.93,5298.28,4551.7,17911.96,32,1057.07,177.33,32.04,57636.1,Retail,Central,18,65,No,466.63,No
CUST000010,58,Female,Single,Undergraduate,Employed,70868.92,33119.79,2294.88,2039.31,14342.81,16,661.93,101.46,45.71,41543.5,Retail,South,12,30,No,416.33,No
CUST000011,20,Female,Married,Undergraduate,Employed,73777.56,15643.67,2919.74,1870.18,11106.86,38,894.15,117.3,27.68,51994.25,Private,North,0,13,No,821.23,No
CUST000012,77,Female,Single,Postgraduate,Employed,41030.03,4441.53,1939.74,1744.2,4703.29,8,832.96,86.44,20.23,11079.02,High Net Worth,Central,5,89,No,715.35,No
CUST000013,67,Female,Single,Postgraduate,Retired,15774.19,7445.41,966.84,657.04,2153.48,21,1071.58,23.26,28.58,4666.22,Retail,West,2,12,No,712.79,No
CUST000014,35,Male,Married,Undergraduate,Employed,33645.22,5581.73,932.47,655.64,8458.52,11,1353.81,135.84,43.83,17747.99,Retail,East,0,24,No,515.3,No
CUST000015,33,Male,Married,Undergraduate,Self-Employed,82327.1,17946.28,6347.67,3978.19,10357.94,23,491.65,121.87,47.88,44739.75,Retail,Central,12,70,No,701.07,Yes
CUST000016,33,Male,Divorced,Undergraduate,Unemployed,10614.33,2105.35,679.08,523.64,2156.69,6,933.23,196.09,41.9,5144.75,Retail,West,16,73,No,569.85,No
CUST000017,38,Male,Married,High School,Employed,46760.47,5820.82,1000.05,628.86,11866.64,15,903.27,111.43,8.98,28994.28,Retail,East,1,38,No,555.45,No
CUST000018,47,Male,Widowed,High School,Employed,55460.73,20363.91,1866.63,1279.88,10487.66,11,541.2,116.29,29.59,47226.5,Retail,North,18,87,No,749.53,No
CUST000019,43,Male,Married,Undergraduate,Employed,33341.78,10702.08,1379.62,858.12,9631.09,27,799.42,70.81,22.24,14428.61,Private,West,6,52,No,490.85,No
CUST000020,38,Male,Single,Undergraduate,Employed,44279.06,20732.98,3180.31,2723.73,3016.41,15,156.63,37.93,24.06,33453.72,Private,Central,14,70,No,349.57,Yes
CUST000021,51,Male,Married,Postgraduate,Employed,62106.64,14507.01,3142.1,2609.05,10545.8,38,697.71,147.36,21.41,13837.51,Retail,East,0,35,No,327.05,No
CUST000022,32,Male,Married,Undergraduate,Retired,18466.96,4259.64,381.93,307.66,4574.31,4,478.74,165.51,3.38,18124.48,Private,West,17,28,Yes,764.98,No
CUST000023,38,Female,Married,Undergraduate,Employed,27024.42,4775.56,1759.5,1559.61,4029.91,14,1309.57,176.55,42.3,4173.78,Retail,Central,1,5,No,738.84,No
CUST000024,41,Male,Married,Undergraduate,Employed,44273.11,19224.83,2472.17,2155.97,5915.19,10,600.91,92.77,48.92,31535.72,Retail,Central,0,42,No,604.76,No
CUST000025,44,Female,Married,Undergraduate,Employed,47573.95,20246.02,2815.25,2492.98,4419.38,29,369.09,146.64,10.49,11322.17,Retail,East,16,84,Yes,489.89,No
